age,sex,admission_category,province,world_region,speaks_official_language,education_level,family_size,field_of_study,previous_occupation,occupation_category,years_of_experience,teer_category,credential_recognition_status,regulated_profession,employment_probability,employed,employment_category,employment_occupation,employment_sector,occupationally_downgraded,annual_income,months_to_employment,rent_to_income_ratio,housing_affordable,affordability_score
27,M,Skilled Worker,Ontario,South Asia,0,College,1,Business Administration,Administrative Officer,"Business, Finance & Administration",4,TEER 1,Fully Recognized,0,0.8366844858642852,0,Not Employed,Not Employed,Not Applicable,0,0.0,1,1.75,0,0.335
22,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,5,Information Technology,Software Developer,Natural & Applied Sciences,0,TEER 1,Fully Recognized,0,0.8863273012718985,1,Natural & Applied Sciences,Data Analyst,Manufacturing,0,82600.0,3,0.31,0,0.823
45,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,1,Social Work,Social Worker,"Education, Law & Social Services",14,TEER 1,Partially Recognized,1,0.8863273012718985,1,"Education, Law & Social Services",Lawyer,Health Care & Social Assistance,0,115100.0,1,0.22,1,0.911
34,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,3,Business Administration,Financial Analyst,"Business, Finance & Administration",0,TEER 1,Fully Recognized,0,0.8832695553891954,1,"Business, Finance & Administration",Bookkeeper,Professional Services,0,100100.0,1,0.25,1,0.903
39,M,Skilled Worker,Ontario,South Asia,1,University,1,Business Administration,Bookkeeper,"Business, Finance & Administration",13,TEER 1,Not Assessed,0,0.8801406805397638,0,Not Employed,Not Employed,Not Applicable,0,0.0,6,1.75,0,0.352
21,M,Skilled Worker,Ontario,South Asia,1,University,4,Engineering Technology,Electrician,"Trades, Transport & Equipment Operators",2,TEER 2,Partially Recognized,0,0.8769396231615978,1,Sales & Service,Retail Sales Associate,Retail Trade,1,50700.0,5,0.5,0,0.654
33,M,Skilled Worker,Ontario,South Asia,1,High School,3,General Studies,Construction Manager,Management,13,TEER 0,Fully Recognized,0,0.8680427595776581,1,Sales & Service,Cashier,Accommodation & Food Services,1,16400.0,1,1.54,0,0.413
18,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,1,Mathematics,IT Analyst,Natural & Applied Sciences,0,TEER 1,Fully Recognized,0,0.8863273012718985,1,Natural & Applied Sciences,IT Analyst,Information Technology,0,99800.0,2,0.25,1,0.904
38,M,Skilled Worker,Ontario,South Asia,1,University,2,Pharmacy,Dentist,Health,13,TEER 1,Partially Recognized,1,0.8822345526848225,0,Not Employed,Not Employed,Not Applicable,0,0.0,3,1.75,0,0.353
31,M,Skilled Worker,Ontario,South Asia,1,University,3,Engineering Technology,Welder,"Trades, Transport & Equipment Operators",8,TEER 2,Partially Recognized,0,0.8822345526848225,1,Manufacturing & Utilities,Assembly Line Worker,Transportation & Warehousing,1,28200.0,5,0.89,0,0.488
24,M,Skilled Worker,Ontario,South Asia,0,Postgraduate,4,Computer Science,Data Analyst,Natural & Applied Sciences,1,TEER 1,Not Assessed,0,0.8407425001138928,1,Sales & Service,Retail Sales Associate,Accommodation & Food Services,1,39800.0,4,0.63,0,0.569
35,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Information Technology,Software Developer,Natural & Applied Sciences,6,TEER 1,Fully Recognized,0,0.8912683888840068,1,Natural & Applied Sciences,Mechanical Engineer,Construction,0,115900.0,1,0.22,1,0.913
33,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,3,Human Resources,Financial Analyst,"Business, Finance & Administration",2,TEER 1,Fully Recognized,0,0.8832695553891954,1,"Business, Finance & Administration",Bookkeeper,Public Administration,0,96700.0,3,0.26,1,0.888
24,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,3,Engineering,Civil Engineer,Natural & Applied Sciences,0,TEER 1,Not Recognized,0,0.8703168351769119,1,Manufacturing & Utilities,Warehouse Labourer,Transportation & Warehousing,1,19000.0,1,1.33,0,0.424
35,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,3,Communications,Food Service Supervisor,Sales & Service,16,TEER 4,Fully Recognized,0,0.8950845167862815,1,Sales & Service,Customer Service Representative,Accommodation & Food Services,0,70600.0,3,0.36,0,0.768
26,M,Skilled Worker,Ontario,South Asia,1,University,2,Computer Science,Civil Engineer,Natural & Applied Sciences,1,TEER 1,Not Recognized,0,0.8657349585723855,1,"Trades, Transport & Equipment Operators",Plumber,Construction,1,30600.0,3,0.82,0,0.505
34,M,Skilled Worker,Ontario,South Asia,1,University,2,Manufacturing Technology,Warehouse Labourer,Manufacturing & Utilities,3,TEER 5,Fully Recognized,0,0.879081733244869,1,Manufacturing & Utilities,Warehouse Labourer,Manufacturing,0,16900.0,1,1.49,0,0.419
32,M,Skilled Worker,Ontario,South Asia,1,University,3,Manufacturing Technology,Assembly Line Worker,Manufacturing & Utilities,5,TEER 5,Partially Recognized,0,0.8822345526848225,1,Manufacturing & Utilities,Machine Operator,Transportation & Warehousing,1,41500.0,5,0.61,0,0.597
31,M,Skilled Worker,Ontario,South Asia,1,University,2,Finance,Accountant,"Business, Finance & Administration",4,TEER 1,Partially Recognized,0,0.873665346981015,1,Sales & Service,Retail Sales Associate,Accommodation & Food Services,1,32700.0,2,0.77,0,0.526
21,M,Skilled Worker,Ontario,South Asia,1,High School,4,General Studies,Dentist,Health,1,TEER 1,Not Recognized,1,0.8325436652096319,1,Health,Physician,Health Care & Social Assistance,0,53600.0,1,0.47,0,0.653
46,M,Skilled Worker,Ontario,South Asia,1,University,2,Education,Early Childhood Educator,"Education, Law & Social Services",19,TEER 1,Fully Recognized,1,0.8873309277880431,1,"Education, Law & Social Services",Social Worker,Education Services,0,101600.0,3,0.25,1,0.905
35,M,Skilled Worker,Ontario,South Asia,1,University,2,Computer Science,Data Analyst,Natural & Applied Sciences,10,TEER 1,Fully Recognized,0,0.8912683888840068,1,Natural & Applied Sciences,IT Analyst,Manufacturing,0,111800.0,1,0.23,1,0.911
42,M,Skilled Worker,Ontario,South Asia,1,High School,3,General Studies,Software Developer,Natural & Applied Sciences,21,TEER 1,Partially Recognized,0,0.862209402206462,1,Natural & Applied Sciences,Data Analyst,Professional Services,0,67800.0,1,0.37,0,0.742
38,M,Skilled Worker,Ontario,South Asia,0,Postgraduate,4,Health Sciences,Medical Laboratory Technologist,Health,12,TEER 1,Partially Recognized,1,0.8549250181088225,1,Sales & Service,Food Service Supervisor,Accommodation & Food Services,1,32200.0,9,0.78,0,0.515
27,M,Skilled Worker,Ontario,South Asia,0,University,2,Manufacturing Technology,Production Worker,Manufacturing & Utilities,8,TEER 5,Fully Recognized,0,0.8598160571634877,1,Manufacturing & Utilities,Production Worker,Manufacturing,1,79400.0,1,0.32,0,0.798
25,M,Skilled Worker,Ontario,South Asia,1,University,3,Engineering,Data Analyst,Natural & Applied Sciences,0,TEER 1,Not Recognized,0,0.8657349585723855,1,Natural & Applied Sciences,Software Developer,Professional Services,0,79100.0,6,0.32,0,0.799
27,M,Skilled Worker,Ontario,South Asia,1,University,4,Education,Early Childhood Educator,"Education, Law & Social Services",2,TEER 1,Partially Recognized,1,0.8725574743926641,1,Manufacturing & Utilities,Production Worker,Transportation & Warehousing,1,38900.0,10,0.65,0,0.575
35,M,Skilled Worker,Ontario,South Asia,0,Postgraduate,2,Information Technology,Data Analyst,Natural & Applied Sciences,4,TEER 1,Fully Recognized,0,0.8511644112002427,1,Natural & Applied Sciences,Software Developer,Information Technology,0,94800.0,15,0.27,1,0.866
40,M,Skilled Worker,Ontario,South Asia,1,College,2,Information Technology,Data Analyst,Natural & Applied Sciences,16,TEER 1,Not Recognized,0,0.8645683220961262,1,Sales & Service,Customer Service Representative,Retail Trade,1,35700.0,1,0.71,0,0.547
34,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,3,Information Technology,IT Analyst,Natural & Applied Sciences,5,TEER 1,Fully Recognized,0,0.8912683888840068,0,Not Employed,Not Employed,Not Applicable,0,0.0,1,1.75,0,0.357
40,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,1,Information Technology,Civil Engineer,Natural & Applied Sciences,12,TEER 1,Fully Recognized,0,0.8950845167862815,1,Natural & Applied Sciences,Data Analyst,Professional Services,0,102600.0,3,0.25,1,0.908
29,M,Skilled Worker,Ontario,South Asia,1,College,3,Practical Nursing,Dentist,Health,8,TEER 1,Fully Recognized,1,0.8758563838253973,1,Health,Physician,Health Care & Social Assistance,0,68000.0,7,0.37,0,0.748
38,M,Skilled Worker,Ontario,South Asia,1,College,1,Practical Nursing,Physician,Health,12,TEER 1,Not Assessed,1,0.8645683220961262,1,Health,Dentist,Health Care & Social Assistance,0,58600.0,1,0.43,0,0.694
34,M,Skilled Worker,Ontario,South Asia,1,University,3,Physical Sciences,Mechanical Engineer,Natural & Applied Sciences,7,TEER 1,Fully Recognized,0,0.8873309277880431,1,Sales & Service,Customer Service Representative,Retail Trade,1,70200.0,1,0.36,0,0.764
26,M,Skilled Worker,Ontario,South Asia,1,College,3,Community Services,Early Childhood Educator,"Education, Law & Social Services",0,TEER 1,Not Assessed,1,0.853680328451021,0,Not Employed,Not Employed,Not Applicable,0,0.0,19,1.75,0,0.341
37,M,Skilled Worker,Ontario,South Asia,1,College,2,Accounting,Bookkeeper,"Business, Finance & Administration",14,TEER 1,Not Assessed,0,0.8691839951038786,1,"Business, Finance & Administration",Financial Analyst,Professional Services,0,61300.0,1,0.41,0,0.711
33,M,Skilled Worker,Ontario,South Asia,1,High School,5,General Studies,Software Developer,Natural & Applied Sciences,11,TEER 1,Fully Recognized,0,0.8680427595776581,1,Natural & Applied Sciences,Civil Engineer,Professional Services,0,71400.0,1,0.35,0,0.763
25,M,Skilled Worker,Ontario,South Asia,0,University,5,Management,Construction Manager,Management,5,TEER 0,Fully Recognized,0,0.8598160571634877,1,Management,Operations Manager,Accommodation & Food Services,0,95300.0,1,0.26,1,0.873
25,M,Skilled Worker,Ontario,South Asia,1,University,1,Computer Science,Software Developer,Natural & Applied Sciences,0,TEER 1,Fully Recognized,0,0.8822345526848225,1,Natural & Applied Sciences,Mechanical Engineer,Professional Services,0,66000.0,1,0.38,0,0.741
28,M,Skilled Worker,Ontario,South Asia,1,College,3,Information Technology,Mechanical Engineer,Natural & Applied Sciences,5,TEER 1,Not Recognized,0,0.8633931481922024,1,Sales & Service,Food Service Supervisor,Retail Trade,1,16700.0,3,1.51,0,0.412
22,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,1,Management,Retail Manager,Management,4,TEER 0,Not Recognized,0,0.8703168351769119,1,Management,Retail Manager,Accommodation & Food Services,0,87200.0,13,0.29,1,0.839
20,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,4,Information Technology,Software Developer,Natural & Applied Sciences,3,TEER 1,Fully Recognized,0,0.8863273012718985,1,Natural & Applied Sciences,IT Analyst,Information Technology,0,90200.0,4,0.28,1,0.859
33,M,Skilled Worker,Ontario,South Asia,1,University,4,Nursing,Dentist,Health,6,TEER 1,Not Recognized,1,0.8668930926209821,1,Sales & Service,Retail Sales Associate,Retail Trade,1,24900.0,37,1.01,0,0.446
22,M,Skilled Worker,Ontario,South Asia,1,College,2,Accounting,Accountant,"Business, Finance & Administration",0,TEER 1,Not Recognized,0,0.853680328451021,1,"Business, Finance & Administration",HR Specialist,Public Administration,0,61100.0,13,0.41,0,0.704
31,M,Skilled Worker,Ontario,South Asia,1,University,2,Communications,Retail Sales Associate,Sales & Service,4,TEER 4,Fully Recognized,0,0.879081733244869,1,Sales & Service,Food Service Supervisor,Retail Trade,0,49400.0,1,0.51,0,0.647
34,M,Skilled Worker,Ontario,South Asia,1,University,3,Health Sciences,Pharmacist,Health,11,TEER 1,Not Assessed,1,0.8758563838253973,1,Manufacturing & Utilities,Warehouse Labourer,Manufacturing,1,57600.0,3,0.44,0,0.693
33,M,Skilled Worker,Ontario,South Asia,1,University,3,Finance,Administrative Officer,"Business, Finance & Administration",7,TEER 1,Partially Recognized,0,0.8822345526848225,1,"Trades, Transport & Equipment Operators",Electrician,Construction,1,37000.0,12,0.68,0,0.565
38,M,Skilled Worker,Ontario,South Asia,1,College,3,Business Administration,Cashier,Sales & Service,12,TEER 4,Not Recognized,0,0.8645683220961262,1,Manufacturing & Utilities,Production Worker,Manufacturing,1,30600.0,2,0.82,0,0.504
32,M,Skilled Worker,Ontario,South Asia,1,University,3,Mathematics,Software Developer,Natural & Applied Sciences,5,TEER 1,Partially Recognized,0,0.8822345526848225,1,"Trades, Transport & Equipment Operators",Electrician,Transportation & Warehousing,1,67300.0,8,0.37,0,0.748
19,M,Skilled Worker,Ontario,South Asia,1,University,3,Physical Sciences,Mechanical Engineer,Natural & Applied Sciences,3,TEER 1,Partially Recognized,0,0.8769396231615978,1,Manufacturing & Utilities,Production Worker,Manufacturing,1,66900.0,7,0.38,0,0.742
32,M,Skilled Worker,Ontario,South Asia,1,College,2,Engineering Technology,Data Analyst,Natural & Applied Sciences,9,TEER 1,Partially Recognized,0,0.8714413160800064,1,"Trades, Transport & Equipment Operators",Auto Mechanic,Transportation & Warehousing,1,79300.0,1,0.32,0,0.802
18,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Engineering,Software Developer,Natural & Applied Sciences,1,TEER 1,Partially Recognized,0,0.8811916074114801,1,Natural & Applied Sciences,Software Developer,Professional Services,0,51000.0,1,0.49,0,0.658
32,M,Skilled Worker,Ontario,South Asia,1,College,1,Skilled Trades,Truck Driver,"Trades, Transport & Equipment Operators",13,TEER 2,Fully Recognized,0,0.8811916074114801,0,Not Employed,Not Employed,Not Applicable,0,0.0,15,1.75,0,0.352
28,M,Skilled Worker,Ontario,South Asia,1,University,2,Computer Science,Civil Engineer,Natural & Applied Sciences,0,TEER 1,Fully Recognized,0,0.8822345526848225,1,Natural & Applied Sciences,Software Developer,Professional Services,0,87700.0,1,0.29,1,0.846
37,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Economics,HR Specialist,"Business, Finance & Administration",5,TEER 1,Fully Recognized,0,0.8912683888840068,1,"Business, Finance & Administration",Financial Analyst,Professional Services,0,78000.0,2,0.32,0,0.805
34,M,Skilled Worker,Ontario,South Asia,1,College,4,Business Administration,Administrative Officer,"Business, Finance & Administration",8,TEER 1,Fully Recognized,0,0.8769396231615978,1,"Business, Finance & Administration",HR Specialist,Professional Services,0,90100.0,6,0.28,1,0.855
29,M,Skilled Worker,Ontario,South Asia,1,University,2,Pharmacy,Registered Nurse,Health,0,TEER 1,Not Recognized,1,0.8610170498408068,1,Sales & Service,Food Service Supervisor,Retail Trade,1,21200.0,1,1.19,0,0.429
42,M,Skilled Worker,Ontario,South Asia,1,University,4,Health Sciences,Pharmacist,Health,19,TEER 1,Not Assessed,1,0.8758563838253973,1,Health,Medical Laboratory Technologist,Health Care & Social Assistance,0,88200.0,1,0.29,1,0.845
22,M,Skilled Worker,Ontario,South Asia,1,College,1,Human Resources,Accountant,"Business, Finance & Administration",2,TEER 1,Fully Recognized,0,0.8714413160800064,1,"Business, Finance & Administration",HR Specialist,Public Administration,0,46200.0,12,0.55,0,0.623
18,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Manufacturing Technology,Assembly Line Worker,Manufacturing & Utilities,1,TEER 5,Fully Recognized,0,0.8863273012718985,1,Manufacturing & Utilities,Production Worker,Manufacturing,0,58700.0,1,0.43,0,0.703
31,M,Skilled Worker,Ontario,South Asia,1,University,3,Engineering,Mechanical Engineer,Natural & Applied Sciences,7,TEER 1,Not Recognized,0,0.8714413160800064,1,Natural & Applied Sciences,IT Analyst,Manufacturing,0,73000.0,11,0.35,0,0.771
25,M,Skilled Worker,Ontario,South Asia,1,University,3,Law,Early Childhood Educator,"Education, Law & Social Services",3,TEER 1,Partially Recognized,1,0.8725574743926641,0,Not Employed,Not Employed,Not Applicable,0,0.0,2,1.75,0,0.349
30,M,Skilled Worker,Ontario,South Asia,1,University,2,Engineering,IT Analyst,Natural & Applied Sciences,6,TEER 1,Fully Recognized,0,0.8873309277880431,1,Natural & Applied Sciences,Software Developer,Construction,0,122200.0,1,0.21,1,0.913
27,M,Skilled Worker,Ontario,South Asia,1,College,1,Engineering Technology,Mechanical Engineer,Natural & Applied Sciences,5,TEER 1,Fully Recognized,0,0.8801406805397638,1,Natural & Applied Sciences,Civil Engineer,Information Technology,0,66200.0,2,0.38,0,0.741
33,M,Skilled Worker,Ontario,South Asia,1,College,3,Engineering Technology,Data Analyst,Natural & Applied Sciences,9,TEER 1,Fully Recognized,0,0.8769396231615978,1,Natural & Applied Sciences,Data Analyst,Professional Services,0,84000.0,8,0.3,0,0.827
27,M,Skilled Worker,Ontario,South Asia,1,College,4,Health Sciences,Medical Laboratory Technologist,Health,5,TEER 1,Partially Recognized,1,0.8703168351769119,1,Manufacturing & Utilities,Production Worker,Manufacturing,1,46300.0,3,0.54,0,0.625
43,M,Skilled Worker,Ontario,South Asia,1,University,4,Nursing,Physician,Health,17,TEER 1,Partially Recognized,1,0.8822345526848225,1,Health,Registered Nurse,Health Care & Social Assistance,0,101800.0,6,0.25,1,0.903
30,M,Skilled Worker,Ontario,South Asia,0,University,3,Finance,HR Specialist,"Business, Finance & Administration",7,TEER 1,Partially Recognized,0,0.8498931219157079,1,Sales & Service,Retail Sales Associate,Accommodation & Food Services,1,48600.0,1,0.52,0,0.63
25,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Engineering Technology,Welder,"Trades, Transport & Equipment Operators",0,TEER 2,Not Assessed,0,0.8747649709882901,0,Not Employed,Not Employed,Not Applicable,0,0.0,2,1.75,0,0.35
37,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,1,Education,Social Worker,"Education, Law & Social Services",10,TEER 1,Not Recognized,1,0.8758563838253973,0,Not Employed,Not Employed,Not Applicable,0,0.0,4,1.75,0,0.35
32,M,Skilled Worker,Ontario,South Asia,1,University,3,Physical Sciences,Data Analyst,Natural & Applied Sciences,4,TEER 1,Partially Recognized,0,0.873665346981015,1,Natural & Applied Sciences,IT Analyst,Construction,0,77400.0,7,0.33,0,0.793
41,M,Skilled Worker,Ontario,South Asia,1,High School,3,General Studies,Social Worker,"Education, Law & Social Services",16,TEER 1,Partially Recognized,1,0.8573880170410024,1,"Education, Law & Social Services",Paralegal,Education Services,0,95100.0,1,0.26,1,0.871
19,M,Skilled Worker,Ontario,South Asia,0,University,1,Pharmacy,Registered Nurse,Health,3,TEER 1,Not Recognized,1,0.8240110950541795,1,Manufacturing & Utilities,Assembly Line Worker,Transportation & Warehousing,1,16400.0,24,1.54,0,0.395
32,M,Skilled Worker,Ontario,South Asia,0,University,3,Business Administration,Financial Analyst,"Business, Finance & Administration",8,TEER 1,Fully Recognized,0,0.8561609036579888,1,"Business, Finance & Administration",Bookkeeper,Finance & Insurance,0,96600.0,1,0.26,1,0.877
29,M,Skilled Worker,Ontario,South Asia,1,College,4,Engineering Technology,Mechanical Engineer,Natural & Applied Sciences,4,TEER 1,Partially Recognized,0,0.8657349585723855,1,Natural & Applied Sciences,Mechanical Engineer,Construction,0,99100.0,1,0.25,1,0.893
27,M,Skilled Worker,Ontario,South Asia,1,University,1,Mathematics,IT Analyst,Natural & Applied Sciences,2,TEER 1,Partially Recognized,0,0.8769396231615978,1,Manufacturing & Utilities,Production Worker,Transportation & Warehousing,1,29200.0,7,0.86,0,0.496
30,M,Skilled Worker,Ontario,South Asia,1,University,2,Business Administration,HR Specialist,"Business, Finance & Administration",6,TEER 1,Fully Recognized,0,0.8873309277880431,1,"Business, Finance & Administration",Bookkeeper,Professional Services,0,75900.0,2,0.33,0,0.793
31,M,Skilled Worker,Ontario,South Asia,0,University,2,Pharmacy,Registered Nurse,Health,2,TEER 1,Fully Recognized,1,0.8407425001138928,0,Not Employed,Not Employed,Not Applicable,0,0.0,21,1.75,0,0.336
24,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Finance,Accountant,"Business, Finance & Administration",1,TEER 1,Fully Recognized,0,0.8863273012718985,1,"Business, Finance & Administration",HR Specialist,Professional Services,0,93400.0,2,0.27,1,0.874
25,M,Skilled Worker,Ontario,South Asia,1,University,2,Computer Science,Data Analyst,Natural & Applied Sciences,0,TEER 1,Fully Recognized,0,0.8822345526848225,1,Natural & Applied Sciences,Civil Engineer,Information Technology,0,78400.0,1,0.32,0,0.802
34,M,Skilled Worker,Ontario,South Asia,1,College,2,Information Technology,Civil Engineer,Natural & Applied Sciences,12,TEER 1,Partially Recognized,0,0.8758563838253973,1,Natural & Applied Sciences,Data Analyst,Construction,0,74700.0,1,0.34,0,0.781
29,M,Skilled Worker,Ontario,South Asia,1,University,3,Mathematics,Civil Engineer,Natural & Applied Sciences,5,TEER 1,Fully Recognized,0,0.8902954999057695,1,Natural & Applied Sciences,IT Analyst,Construction,0,92400.0,2,0.27,1,0.872
38,M,Skilled Worker,Ontario,South Asia,1,High School,1,General Studies,Dentist,Health,18,TEER 1,Not Recognized,1,0.8447183956867512,0,Not Employed,Not Employed,Not Applicable,0,0.0,5,1.75,0,0.338
37,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,3,Communications,Customer Service Representative,Sales & Service,3,TEER 4,Partially Recognized,0,0.8780147269152849,1,Sales & Service,Customer Service Representative,Retail Trade,0,26100.0,2,0.97,0,0.462
20,M,Skilled Worker,Ontario,South Asia,1,High School,3,General Studies,Cashier,Sales & Service,0,TEER 4,Fully Recognized,0,0.8573880170410024,1,Sales & Service,Cashier,Retail Trade,0,39400.0,1,0.64,0,0.573
20,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Engineering,Mechanical Engineer,Natural & Applied Sciences,4,TEER 1,Partially Recognized,0,0.8811916074114801,1,Natural & Applied Sciences,Mechanical Engineer,Information Technology,0,78800.0,8,0.32,0,0.804
37,M,Skilled Worker,Ontario,South Asia,1,University,2,Physical Sciences,Civil Engineer,Natural & Applied Sciences,6,TEER 1,Not Recognized,0,0.8714413160800064,1,"Trades, Transport & Equipment Operators",Truck Driver,Manufacturing,1,33200.0,4,0.76,0,0.529
38,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,1,Mathematics,Civil Engineer,Natural & Applied Sciences,8,TEER 1,Partially Recognized,0,0.8863273012718985,1,Sales & Service,Customer Service Representative,Accommodation & Food Services,1,61100.0,4,0.41,0,0.717
27,M,Skilled Worker,Ontario,South Asia,0,Postgraduate,2,Business Administration,Bookkeeper,"Business, Finance & Administration",0,TEER 1,Fully Recognized,0,0.8549250181088225,1,"Business, Finance & Administration",Accountant,Professional Services,0,98200.0,1,0.26,1,0.883
20,M,Skilled Worker,Ontario,South Asia,1,University,4,Finance,Bookkeeper,"Business, Finance & Administration",1,TEER 1,Fully Recognized,0,0.8822345526848225,1,"Business, Finance & Administration",Accountant,Professional Services,0,84100.0,1,0.3,0,0.829
38,M,Skilled Worker,Ontario,South Asia,1,College,2,Information Technology,Civil Engineer,Natural & Applied Sciences,10,TEER 1,Fully Recognized,0,0.8811916074114801,1,Natural & Applied Sciences,Civil Engineer,Professional Services,0,88300.0,1,0.29,1,0.848
29,M,Skilled Worker,Ontario,South Asia,0,University,1,Economics,Financial Analyst,"Business, Finance & Administration",8,TEER 1,Fully Recognized,0,0.8598160571634877,1,"Business, Finance & Administration",Accountant,Finance & Insurance,0,79600.0,17,0.32,0,0.798
