record_id,city,cmhc_centre,neighbourhood,bedroom_type,unit_type,monthly_rent,cmhc_avg_rent_2br_2025,vacancy_rate_2025,turnover_rate_2025,rent_change_pct_2024_2025,latitude,longitude,record_type,source_category,source_reference,vacancy_quality_code,rent_quality_code
SYN-0042,Brantford,Brantford CMA,Brantford area 03,2 Bedroom,Apartment,1695,1619,3.5,14.5,,43.173196,-80.342724,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0043,Windsor,Windsor CMA,Windsor area 07,1 Bedroom,Townhouse,1310,1454,3.7,12.2,3.6,42.234286,-83.055049,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0044,Thunder Bay,Thunder Bay CMA,Thunder Bay area 02,1 Bedroom,Apartment,1170,1495,4,3.4,6.8,48.415573,-89.101906,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0045,Belleville,Belleville - Quinte West CMA,Belleville area 03,1 Bedroom,Apartment,1230,1484,3.4,16.9,,44.101118,-77.373084,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0046,Thunder Bay,Thunder Bay CMA,Thunder Bay area 08,1 Bedroom,Townhouse,1280,1495,4,3.4,6.8,48.330861,-89.120244,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0047,Guelph,Guelph CMA,Guelph area 08,Studio,Apartment,1430,1802,3.1,15.1,4.6,43.614539,-80.340273,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0048,Windsor,Windsor CMA,Windsor area 01,1 Bedroom,Townhouse,1245,1454,3.7,12.2,3.6,42.395389,-83.127105,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0049,Greater Sudbury,Greater Sudbury/Grand Sudbury CMA,Greater Sudbury area 11,1 Bedroom,Townhouse,1345,1558,1.2,6.6,,46.537801,-80.910682,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0050,Windsor,Windsor CMA,Windsor area 12,1 Bedroom,Apartment,1325,1454,3.7,12.2,3.6,42.25844,-83.155817,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0051,Belleville,Belleville - Quinte West CMA,Belleville area 01,2 Bedroom,Apartment,1605,1484,3.4,16.9,,44.246677,-77.374522,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0052,Brantford,Brantford CMA,Brantford area 04,2 Bedroom,Apartment,1660,1619,3.5,14.5,,43.158407,-80.216376,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0053,Greater Sudbury,Greater Sudbury/Grand Sudbury CMA,Greater Sudbury area 10,Studio,Apartment,1040,1558,1.2,6.6,,46.408097,-80.947283,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0054,Ottawa,Ottawa-Gatineau CMA (Ont. part),Ottawa area 05,3 Bedroom,Apartment,2345,1926,3,15.4,3.4,45.455445,-75.750148,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0055,Greater Sudbury,Greater Sudbury/Grand Sudbury CMA,Greater Sudbury area 10,1 Bedroom,Apartment,1065,1558,1.2,6.6,,46.578847,-81.135546,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0056,Guelph,Guelph CMA,Guelph area 06,Studio,Apartment,1280,1802,3.1,15.1,4.6,43.545977,-80.349614,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0057,Brantford,Brantford CMA,Brantford area 11,3 Bedroom,Apartment,1955,1619,3.5,14.5,,43.148044,-80.318528,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0058,Barrie,Barrie CMA,Barrie area 03,2 Bedroom,Apartment,1895,1755,4.3,12.8,4.3,44.475751,-79.801247,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0059,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 06,Studio,Apartment,1035,1527,3.9,12.8,5.5,43.115751,-79.326239,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0060,Kitchener-Waterloo,Kitchener-Cambridge-Waterloo CMA,Kitchener-Waterloo area 01,2 Bedroom,Apartment,1750,1832,4.1,16.1,3.3,43.452682,-80.561066,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0061,Brantford,Brantford CMA,Brantford area 03,2 Bedroom,Apartment,1725,1619,3.5,14.5,,43.065564,-80.132893,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0062,Toronto,Toronto CMA,Toronto area 12,2 Bedroom,Townhouse,2250,2046,3,8.7,3.4,43.665381,-79.490487,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0063,Hamilton,Hamilton CMA,Hamilton area 01,2 Bedroom,Apartment,1595,1656,3.6,13.1,1.6,43.181189,-79.923754,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0064,Peterborough,Peterborough CMA,Peterborough area 09,1 Bedroom,Apartment,1220,1518,3.1,8.4,,44.342487,-78.360596,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0065,Thunder Bay,Thunder Bay CMA,Thunder Bay area 03,3 Bedroom,Apartment,1930,1495,4,3.4,6.8,48.3134,-89.157396,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0066,Thunder Bay,Thunder Bay CMA,Thunder Bay area 11,Studio,Apartment,990,1495,4,3.4,6.8,48.437377,-89.274285,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0067,London,London CMA,London area 08,1 Bedroom,Apartment,1335,1651,4,15.1,4.1,42.979038,-81.327436,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0068,Peterborough,Peterborough CMA,Peterborough area 07,1 Bedroom,Apartment,1260,1518,3.1,8.4,,44.253685,-78.274972,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0069,Ottawa,Ottawa-Gatineau CMA (Ont. part),Ottawa area 09,1 Bedroom,Apartment,1675,1926,3,15.4,3.4,45.449796,-75.725786,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0070,Ottawa,Ottawa-Gatineau CMA (Ont. part),Ottawa area 10,3 Bedroom,Apartment,2340,1926,3,15.4,3.4,45.496908,-75.765241,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0071,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 02,Studio,Townhouse,1040,1527,3.9,12.8,5.5,43.146679,-79.114133,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0072,Greater Sudbury,Greater Sudbury/Grand Sudbury CMA,Greater Sudbury area 01,3 Bedroom,Apartment,2125,1558,1.2,6.6,,46.442645,-80.932347,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0073,Kitchener-Waterloo,Kitchener-Cambridge-Waterloo CMA,Kitchener-Waterloo area 02,1 Bedroom,Apartment,1745,1832,4.1,16.1,3.3,43.476231,-80.447487,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0074,Oshawa,Oshawa CMA,Oshawa area 09,2 Bedroom,Townhouse,1795,1754,3.7,4.8,,43.862337,-78.811064,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0075,Hamilton,Hamilton CMA,Hamilton area 09,1 Bedroom,Townhouse,1360,1656,3.6,13.1,1.6,43.278803,-79.925761,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0076,Barrie,Barrie CMA,Barrie area 11,1 Bedroom,Apartment,1230,1755,4.3,12.8,4.3,44.375378,-79.667914,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0077,Ottawa,Ottawa-Gatineau CMA (Ont. part),Ottawa area 12,1 Bedroom,Townhouse,1635,1926,3,15.4,3.4,45.480247,-75.566172,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0078,Kingston,Kingston CMA,Kingston area 06,2 Bedroom,Apartment,1625,1764,2.4,17.3,2.4,44.23429,-76.448893,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0079,Brantford,Brantford CMA,Brantford area 04,2 Bedroom,Apartment,1580,1619,3.5,14.5,,43.079226,-80.394749,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0080,Windsor,Windsor CMA,Windsor area 10,2 Bedroom,Apartment,1385,1454,3.7,12.2,3.6,42.305983,-82.931962,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0081,Kitchener-Waterloo,Kitchener-Cambridge-Waterloo CMA,Kitchener-Waterloo area 02,2 Bedroom,Townhouse,1870,1832,4.1,16.1,3.3,43.482812,-80.628722,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0082,Thunder Bay,Thunder Bay CMA,Thunder Bay area 02,1 Bedroom,Townhouse,1325,1495,4,3.4,6.8,48.290944,-89.323223,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0083,Toronto,Toronto CMA,Toronto area 08,1 Bedroom,Townhouse,1610,2046,3,8.7,3.4,43.67229,-79.258799,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0084,Thunder Bay,Thunder Bay CMA,Thunder Bay area 08,2 Bedroom,Townhouse,1300,1495,4,3.4,6.8,48.460342,-89.174329,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0085,Toronto,Toronto CMA,Toronto area 04,1 Bedroom,Apartment,1730,2046,3,8.7,3.4,43.708735,-79.387458,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0086,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 09,1 Bedroom,Apartment,1190,1527,3.9,12.8,5.5,43.106299,-79.291907,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0087,Brantford,Brantford CMA,Brantford area 06,1 Bedroom,Apartment,1285,1619,3.5,14.5,,43.082191,-80.287734,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0088,Toronto,Toronto CMA,Toronto area 10,1 Bedroom,Apartment,1725,2046,3,8.7,3.4,43.719778,-79.413751,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0089,Barrie,Barrie CMA,Barrie area 07,2 Bedroom,Townhouse,1560,1755,4.3,12.8,4.3,44.349123,-79.72109,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0090,London,London CMA,London area 06,1 Bedroom,Apartment,1390,1651,4,15.1,4.1,42.972067,-81.374064,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0091,Greater Sudbury,Greater Sudbury/Grand Sudbury CMA,Greater Sudbury area 10,2 Bedroom,Townhouse,1995,1558,1.2,6.6,,46.498525,-80.874786,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0092,Barrie,Barrie CMA,Barrie area 01,Studio,Townhouse,1155,1755,4.3,12.8,4.3,44.31654,-79.70102,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0093,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 07,1 Bedroom,Apartment,1170,1527,3.9,12.8,5.5,43.235328,-79.307697,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0094,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 06,2 Bedroom,Townhouse,1680,1527,3.9,12.8,5.5,43.063277,-79.236092,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0095,London,London CMA,London area 03,2 Bedroom,Apartment,1660,1651,4,15.1,4.1,42.924772,-81.376427,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0096,London,London CMA,London area 12,1 Bedroom,Apartment,1105,1651,4,15.1,4.1,42.997694,-81.322408,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0097,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 03,2 Bedroom,Apartment,1295,1527,3.9,12.8,5.5,43.203071,-79.170736,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0098,Oshawa,Oshawa CMA,Oshawa area 07,Studio,Apartment,1050,1754,3.7,4.8,,43.982877,-78.844762,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0099,Greater Sudbury,Greater Sudbury/Grand Sudbury CMA,Greater Sudbury area 05,3 Bedroom,Apartment,2110,1558,1.2,6.6,,46.517148,-81.108649,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0100,Guelph,Guelph CMA,Guelph area 06,2 Bedroom,Apartment,1895,1802,3.1,15.1,4.6,43.514241,-80.267962,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0101,Brantford,Brantford CMA,Brantford area 06,2 Bedroom,Apartment,1745,1619,3.5,14.5,,43.13744,-80.28262,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0102,Toronto,Toronto CMA,Toronto area 11,2 Bedroom,Townhouse,2225,2046,3,8.7,3.4,43.588427,-79.377189,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0103,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 04,2 Bedroom,Townhouse,1425,1527,3.9,12.8,5.5,43.177895,-79.29562,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0104,Brantford,Brantford CMA,Brantford area 10,1 Bedroom,Townhouse,1480,1619,3.5,14.5,,43.088173,-80.274073,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0105,Greater Sudbury,Greater Sudbury/Grand Sudbury CMA,Greater Sudbury area 06,1 Bedroom,Townhouse,1420,1558,1.2,6.6,,46.434124,-80.906479,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0106,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 04,3 Bedroom,Apartment,1805,1527,3.9,12.8,5.5,43.170558,-79.242341,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0107,Brantford,Brantford CMA,Brantford area 08,1 Bedroom,Townhouse,1255,1619,3.5,14.5,,43.177522,-80.22441,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
